Horizon started successfully.
Horizon started successfully.
[2019-05-18 04:00:05][3173] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:08][3209] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 04:00:07][3173] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:07][3174] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:08][3209] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 04:00:09][3209] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 04:00:09][3174] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:09][3175] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:09][3209] Failed:     App\Jobs\ProcessWalletTransactionJob
[2019-05-18 04:00:10][3175] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:10][3176] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:15][3176] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:15][3177] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:21][3177] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:21][3178] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:27][3178] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:27][3179] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:34][3179] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:34][3180] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:43][3180] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:43][3181] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:48][3181] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:48][3182] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:57][3182] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:00:57][3183] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:05][3183] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:05][3184] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:10][3184] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:10][3185] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:15][3185] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:15][3186] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:19][3186] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:19][3187] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:24][3187] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:24][3188] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:28][3188] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:28][3189] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:34][3189] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:34][3190] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:40][3190] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:40][3191] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:45][3191] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:45][3192] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:50][3192] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:50][3193] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:55][3193] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:01:55][3194] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:01][3194] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:01][3195] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:05][3195] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:05][3196] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:10][3196] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:10][3197] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:16][3197] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:16][3198] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:23][3198] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:23][3199] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:28][3199] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:28][3200] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:33][3200] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:33][3201] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:40][3201] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:40][3202] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:46][3202] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:46][3203] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:52][3203] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:52][3204] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:58][3204] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:02:58][3205] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:05][3205] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:05][3206] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:12][3206] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:12][3207] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:17][3207] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:17][3208] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 04:03:22][3208] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:05][3210] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3210] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3211] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3211] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3212] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3212] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:06][3213] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:08][3246] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 05:00:08][3246] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 05:00:09][3246] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 05:00:09][3246] Failed:     App\Jobs\ProcessWalletTransactionJob
[2019-05-18 05:00:11][3213] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:11][3214] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:17][3214] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:17][3215] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:21][3215] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:21][3216] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:28][3216] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:28][3217] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:36][3217] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:36][3218] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:42][3218] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:42][3219] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:50][3219] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:50][3220] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:58][3220] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:00:58][3221] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:02][3221] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:02][3222] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:06][3222] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:06][3223] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:11][3223] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:11][3224] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:15][3224] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:15][3225] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:19][3225] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:19][3226] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:25][3226] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:25][3227] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:31][3227] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:31][3228] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:35][3228] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:35][3229] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:40][3229] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:40][3230] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:45][3230] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:45][3231] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:51][3231] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:51][3232] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:55][3232] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:55][3233] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:59][3233] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:01:59][3234] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:06][3234] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:06][3235] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:12][3235] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:12][3236] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:17][3236] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:17][3237] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:21][3237] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:21][3238] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:27][3238] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:27][3239] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:31][3239] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:31][3240] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:37][3240] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:37][3241] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:42][3241] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:42][3242] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:48][3242] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:48][3243] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:54][3243] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:54][3244] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:58][3244] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:02:58][3245] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 05:03:02][3245] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:04][3247] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:04][3247] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:04][3248] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:06][3248] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:06][3249] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:07][3249] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:07][3250] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:11][3283] Processing: App\Jobs\ProcessWalletTransactionJob
